x,y,place,size,update,startdate,enddate,title,url
0.4082,49.0265,Orbec,7,2010/07/20,2010/07/19,2010/07/19,Orbec,http://www.normandie.fm/5-feux-detruisent-plus-de-7-ha-dans-l-Orne-dans-le-Clavdaos-5-ha-detruits-pres-de-Orbec_a2641.html
-8.47849,41.84099,Laceiras,,2010/07/20,2010/07/19,2010/07/19,Laceiras,http://dn.sapo.pt/Inicio/interior.aspx?content_id%3D1622237
-7.8093,41.538,Ribeira de Pena,,2010/07/18,2010/07/17,2010/07/18,Ribeira de Pena,http://dn.sapo.pt/Inicio/interior.aspx?content_id%3D1620997
16.585,58.236,Valdemarsvik,7,2010/07/19,2010/07/19,2010/07/19,Valdemarsvik,http://www.nt.se/nyheter/artikel.aspx?articleid%3D6149171
28.3545,37.2291,Mugla,,2010/07/19,2010/07/19,2010/07/19,Mugla,http://www.yeniasir.com.tr/HayatinIcinden/2010/07/19/muglada_yangin_sonduruldu
33.4492,36.6484,Mut,10,2010/07/19,2010/07/19,2010/07/19,Mut,http://www.birincikuvvet.com/Son_dakika/224166-Mutta_Orman_Yangini_-_Son_Dakika_Haberleri.html
3.9648,39.94365,Cala Galdana,2,2010/07/21,2010/07/20,2010/07/20,Cala Galdana,http://www.abc.es/agencias/noticia.asp?noticia%3D460147
8.61387,44.40047,Sciarborasca,2,2010/07/20,2010/07/19,2010/07/19,Sciarborasca,http://www.ilsecoloxix.it/p/genova/2010/07/20/AM81z2sD-cogoleto_piromane_campeggiatori.shtml
13.6621,37.9503,Caccamo,,2010/07/20,2010/07/20,2010/07/20,Caccamo,http://www.libero-news.it/regioneespanso.jsp?id=456295
14.9694,37.5158,Motta Sant’Anastasia,10,2010/07/20,2010/07/20,2010/07/20,Motta Sant’Anastasia,http://www.tifeoweb.it/index.php?option=com_content&view=article&id=1408:sicilia-in-fiamme&catid=44:cronaca&Itemid=34
14.8747,37.653,Biancavilla,20,2010/07/20,2010/07/20,2010/07/20,Biancavilla,http://www.tifeoweb.it/index.php?option=com_content&view=article&id=1408:sicilia-in-fiamme&catid=44:cronaca&Itemid=34
15.6407,38.26441,Torre Faro,,2010/07/20,2010/07/20,2010/07/20,Torre Faro,http://palermo.repubblica.it/dettaglio-news/21:06/3812946
-8.4616,42.0887,Moncao,,2010/07/20,2010/07/20,2010/07/20,Moncao,http://diariodigital.sapo.pt/news.asp?section_id%3D13%26id_news%3D460760
26.9867,37.74963,Vathy,50,2010/07/22,2010/07/21,2010/07/21,Great Fire in Samos,http://news.kathimerini.gr/4dcgi/_w_articles_ell_1_22/07/2010_408820
11.1778,52.8614,Salzwedel,50,2010/07/21,2010/07/21,2010/07/21,Feuerwehr-Großeinsatz bei Waldbrand,http://newsticker.sueddeutsche.de/list/id/1017900
-0.2123,38.9783,Gandia,4.5,2010/07/21,2010/07/21,2010/07/21,Controlled forest fire in a spectacular Gandía,http://contacto-latino.com/news/728322/controlado-un-aparatoso-incendio-forestal-en-gandia-abc-es/
24.424,38.0222,Karystos,,2010/07/22,2010/07/22,2010/07/22,"Ongoing fires in Boeotia, Arcadia and South Evia",http://www.tanea.gr/default.asp?pid%3D2%26ct%3D1%26artid%3D4585725
22.8624,38.4532,Livadia,,2010/07/22,2010/07/22,2010/07/22,"Three fires in progress in Boeotia, Arcadia and South Evia",http://www.google.com/hostednews/epa/article/ALeqM5gqidy-oFb6GeVH8cOOivZeHZBc4w
22.0418,37.3005,Derveni,,2010/07/22,2010/07/22,2010/07/22,Fires in forest areas in Livadia and Arcadia,http://www.tovima.gr/default.asp?pid%3D41%26nid%3D1231053068
-8.1304,42.2517,Arnoia,7,2010/07/22,2010/07/22,2010/07/22,A wildfire threatening several homes Arnoia,http://www.lavozdegalicia.es/galicia/2010/07/23/0003_8626789.htm
-0.2056,48.17217,Rouessé-Vassé,35,2010/07/21,2010/07/20,2010/07/20,An impressive fire last night in the area of Sille,http://www.lemainelibre.fr/actualite/article_-Un-impressionnant-incendie-hier-soir-dans-le-secteur-de-Sille_5733-5_actualite.Htm
9.7118,44.7215,Morfasso,15,2010/07/23,2010/07/22,2010/07/22,"Incendio nei boschi di Morfasso: 15 ettari in fumo, Canadair in azione",http://www.ilpiacenza.it/cronaca/incendio-morfasso-sopra-diga-mignano.html
14.1166,37.8034,Petralia Soprana,,2010/07/21,2010/07/21,2010/07/21,"Incendi, fiamme anche in un bosco di Petralia Soprana ",http://www.hercole.it/index.php?option=com_content&task=view&id=19748&Itemid=111
8.5669,39.5134,Castangias,,2010/07/22,2010/07/21,2010/07/21,"Incendi Sardegna: in fiamme pineta di Castangias, nel Medio Campidano",http://www.cronacalive.it/incendi-sardegna-in-fiamme-pineta-di-castangias-nel-medio-campidano.html
15.02,37.1587,Sortino,,2010/07/22,2010/07/22,2010/07/22,"Divampano gli incendi in Sicilia, case minacciate a Laria Manzo",http://siracusa.blogsicilia.it/2010/07/divampano-gli-incendi-in-sicilia-case-minacciate-a-laria-manzo/
-8.4674,40.8443,Oliveira de Azeméis,,2010/07/22,2010/07/21,2010/07/21,Aveiro: Fire consumes forest,http://www.cmjornal.xl.pt/detalhe/noticias/nacional/portugal/aveiro-fogo-consome-floresta
-9.1373,38.6238,Seixal,,2010/07/22,2010/07/22,2010/07/22,Homes threatened by arson,http://www.cmjornal.xl.pt/detalhe/noticias/nacional/portugal/casas-ameacadas-por-incendio-criminoso
-8.4308,41.6547,Vila Verde,,2010/07/23,2010/07/22,2010/07/23,Fires: A fire to dominate in Portugal - Civil Protection,http://dn.sapo.pt/Inicio/interior.aspx?content_id%3D1624977
18.5574,59.22916,Björnö,12,2010/07/21,2010/07/20,2010/07/21,Forest fire in the nature reserve Bjorno,http://www.nvp.se/Varmdo/Ingaro/Skogsbrand-i-Bjorno-naturreservat/
11.64881,57.977921,Tyfta,2.5,2010/07/22,2010/07/21,2010/07/21,Large forest fires in Tjörn,http://bohuslaningen.se/nyheter/bohuslandal/1.901439-stor-skogsbrand-pa-tjorn
16.607,58.1977,Valdemarsvik,30,2010/07/22,2010/07/21,2010/07/21,30 hectares of forest have burned in Valdemarsvik,http://www.nt.se/nyheter/artikel.aspx?articleid%3D6155190
16.4506,58.33425,Ringarum,14,2010/07/22,2010/07/21,2010/07/21,Forest fire rages outside Ringarum,http://www.nt.se/nyheter/artikel.aspx?ArticleId%3D6154005
38.761,37.186,Şanlıurfa,,2010/07/22,2010/07/21,2010/07/21,Forest Fire at Ataturk Dam Environment,http://www.haberler.com/ataturk-baraji-cevresinde-orman-yangini-2159990-haberi/
-8.8728,42.00526,Oia Pontevedra,40,2010/07/23,2010/07/22,2010/07/23,Controlled forest fire after burning 40 acres Oia,http://www.abc.es/agencias/noticia.asp?noticia%3D464109
-0.3451,39.3798,El Saler,2.5,2010/07/23,2010/07/23,2010/07/23," El incendio forestal de El Saler ha afectado a 2,5 hectáreas The forest fire in El Saler has affected 2.5 hectares ",http://www.europapress.es/comunitat-valenciana/noticia-incendio-forestal-saler-afectado-25-hectareas-20100723213926.html
-8.4087,42.0929,As Neves,5,2010/07/23,2010/07/23,2010/07/23,A fire in As Neves (Pontevedra) 5 hectares of forest burned,http://www.abc.es/agencias/noticia.asp?noticia%3D464613
-6.174,41.5367,Villardiegua de la Ribera,25,2010/07/24,2010/07/24,2010/07/24,Fire destroys 25 hectares of scrub oak and grass,http://www.europapress.es/castilla-y-leon/noticia-incendio-arrasa-25-hectareas-matorral-encina-pasto-villardiegua-ribera-zamora-20100724120856.html
-1.7562,37.4177,Pulpí,12,2010/07/24,2010/07/24,2010/07/24,Pulpí controlled the fire after sweeping 12 acres of grass and scrub,http://www.europapress.es/andalucia/noticia-controlado-incendio-pulpi-arrasar-12-hectareas-pasto-matorral-20100724222707.html
-6.1321,41.6391,Fonfría,53,2010/07/25,2010/07/25,2010/07/25,An early morning fire declared in Fonfría burned 53 hectares (Zamora),http://www.abc.es/agencias/noticia.asp?noticia%3D465499
-5.7708,42.37156,Urdiales del Páramo,8.5,2010/07/25,2010/07/25,2010/07/25,Burning garbage and other three forest fires ravage 14.5 acres in Leon,http://www.abc.es/agencias/noticia.asp?noticia%3D465459
-6.9654,37.3847,Gibraleón,,2010/07/26,2010/07/25,2010/07/26, El Infoca controla un incendio en el paraje de Vallesalado The Infoco controls a fire at the site of Vallesalado  ,http://www.huelvainformacion.es/article/provincia/755501/infoca/controla/incendio/paraje/vallesalado.html
5.1563,43.3779,Châteauneuf-les-Martigues,900,2010/07/25,2010/07/24,2010/07/24,"Fire under control near Marseilles, destroyed 900 hectares",http://www.lexpress.fr/actualites/2/incendie-maitrise-dans-le-sud-est-900-hectares-detruits_908423.html
5.1594,43.5682,La Fare-les-Oliviers,5,2010/07/25,2010/07/25,2010/07/25,Five acres up in smoke in a fire at the Telegraph Pass,http://www.laprovence.com/actu/faits-divers-en-direct/cinq-hectares-partent-en-fumee-dans-un-incendie-au-col-du-telegraphe
23.78003,40.21347,Diaporos,30,2010/07/24,2010/07/24,2010/07/24,Fire flares on the island Diaporos,http://www.ethnos.gr/article.asp?catid%3D11424%26subid%3D2%26pubid%3D22370985
21.7907,38.2696,Patra,,2010/07/25,2010/07/25,2010/07/25,"Fires rage in Achaia, Poros, Laconia",http://www.tanea.gr/default.asp?pid%3D2%26ct%3D1%26artid%3D4586164
23.4498,37.51349,Neorio Poros,,2010/07/25,2010/07/25,2010/07/25,"Fires rage in Achaia, Poros, Laconia",http://www.tanea.gr/default.asp?pid%3D2%26ct%3D1%26artid%3D4586164
23.8038,40.1691,Sithonia,,2010/07/24,2010/07/24,2010/07/24,"Halkidiki - control the fire in Sithonia - alien arrested for arson, 34",http://www.google.com/hostednews/epa/article/ALeqM5icMeDrvklJHg2M42VLb1PwMYGwYg
26.098,35.184,Sitia,,2010/07/25,2010/07/25,2010/07/25,Fires in many parts of Greece,http://www.kathimerini.gr/4dcgi/_w_articles_kathremote_1_25/07/2010_348218
15.058,37.02985,Canicattini Bagni,,2010/07/23,2010/07/23,2010/07/23,Vasto incendio nel pomeriggio lungo la strada Maremonti,http://www.giornaledisiracusa.it/cronaca/15961-vasto-incendio-nel-pomeriggio-lungo-la-maremonti.html
